,umur,gender,occupation,nominal,periode_transaksi,kategori_nominal
793,30,0,Kesehatan,100000,2,Nominal rendah
801,30,0,Kesehatan,6000,2,Nominal rendah
813,30,0,Konsultan,197926,2,Nominal rendah
814,30,0,Kesehatan,15000,2,Nominal rendah
818,30,0,Konsultan,200344,1,Nominal rendah
819,30,0,Amil,587500,1,Nominal rendah
820,30,0,Amil,181019,1,Nominal rendah
821,30,0,Kesehatan,10001,1,Nominal rendah
823,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,91280,1,Nominal rendah
824,30,0,Kesehatan,6000,1,Nominal rendah
825,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,230153,1,Nominal rendah
826,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,269309,1,Nominal rendah
827,30,1,Perhotelan,150000,1,Nominal rendah
830,30,0,Pelayanan Jasa,125000,1,Nominal rendah
832,30,1,Perhotelan,300000,1,Nominal rendah
838,30,1,ASN,365000,1,Nominal rendah
845,30,0,Lain-lain,45000,1,Nominal rendah
846,30,0,ASN,1490600,1,Nominal rendah
847,30,0,Konsultan,272916,1,Nominal rendah
848,30,0,Konsultan,225000,1,Nominal rendah
849,30,0,Kesehatan,10002,1,Nominal rendah
851,30,0,Amil,180000,1,Nominal rendah
852,30,0,ASN,45000,1,Nominal rendah
855,30,0,Amil,20000,1,Nominal rendah
857,30,0,Konsultan,179086,1,Nominal rendah
859,30,1,Asuransi,1500000,1,Nominal rendah
860,30,1,Karyawan,295170,1,Nominal rendah
862,30,1,ASN,220000,1,Nominal rendah
863,30,1,ASN,45000,1,Nominal rendah
864,30,1,Pegawai Swasta,45000,1,Nominal rendah
865,30,0,Lain-lain,45000,1,Nominal rendah
866,30,0,Kesehatan,10001,2,Nominal rendah
867,30,0,Rektor,135000,2,Nominal rendah
868,30,0,ASN,1544060,2,Nominal rendah
869,30,0,Rektor,1800000,2,Nominal rendah
871,30,0,Kesehatan,10002,2,Nominal rendah
878,30,1,ASN,350000,2,Nominal rendah
886,30,0,Kesehatan,6500,2,Nominal rendah
895,30,1,Amil,207906,2,Nominal rendah
896,30,0,Amil,196196,2,Nominal rendah
897,30,1,Amil,195430,2,Nominal rendah
898,30,0,Amil,737500,2,Nominal rendah
900,30,0,Amil,235325,2,Nominal rendah
901,30,0,Konsultan,402437,2,Nominal rendah
902,30,1,Amil,207896,2,Nominal rendah
903,30,1,Karyawan,187744,2,Nominal rendah
910,30,0,Kesehatan,6000,0,Nominal rendah
914,30,1,ASN,370000,0,Nominal rendah
916,30,1,ASN,570000,0,Nominal rendah
918,30,1,Jasa Konsultasi Perpajakan,3825000,0,Nominal rendah
922,30,0,Amil,190070,0,Nominal rendah
923,30,0,Amil,612500,0,Nominal rendah
927,30,1,Jasa Konsultasi Perpajakan,637500,0,Nominal rendah
928,30,0,Konsultan,188146,0,Nominal rendah
929,30,0,ASN,1600500,0,Nominal rendah
930,30,0,Kesehatan,7000,2,Nominal rendah
932,30,0,Pelayanan Jasa,100000,2,Nominal rendah
934,30,1,ASN,335000,2,Nominal rendah
954,30,0,ASN,386015,2,Nominal rendah
955,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,377997,2,Nominal rendah
956,30,0,Kesehatan,415313,2,Nominal rendah
957,30,0,Konsultan,338947,2,Nominal rendah
958,30,1,ASN,355000,2,Nominal rendah
959,30,1,Amil,10000,2,Nominal rendah
960,30,0,Sales &amp; Marketing,338763,2,Nominal rendah
961,30,0,Konsultan,269228,2,Nominal rendah
964,30,0,ASN,975250,2,Nominal rendah
966,30,1,Perhotelan,50000,2,Nominal rendah
971,30,0,Kesehatan,339187,2,Nominal rendah
974,30,0,Konsultan,281552,2,Nominal rendah
977,30,0,ASN,390750,2,Nominal rendah
980,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,223028,2,Nominal rendah
981,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,228300,2,Nominal rendah
982,30,1,Lain-lain,2482000,2,Nominal rendah
983,30,0,Sales &amp; Marketing,434925,2,Nominal rendah
986,30,0,Lain-lain,298331,2,Nominal rendah
987,30,0,Konsultan,619327,2,Nominal rendah
989,30,0,ASN,339250,2,Nominal rendah
992,30,0,Amil,10001,2,Nominal rendah
993,30,0,ASN,200000,2,Nominal rendah
994,30,0,Konsultan,190553,2,Nominal rendah
1000,30,0,Kesehatan,246000,2,Nominal rendah
1001,30,1,Perhotelan,155000,2,Nominal rendah
1003,30,1,ASN,310000,2,Nominal rendah
1004,30,0,Sales &amp; Marketing,250000,2,Nominal rendah
1005,30,0,Karyawan,225000,2,Nominal rendah
1006,30,0,Amil,5000,2,Nominal rendah
1007,30,0,Amil,334117,2,Nominal rendah
1008,30,0,Amil,172399,2,Nominal rendah
1009,30,0,Manufaktur,534832,2,Nominal rendah
1011,30,1,Perhotelan,180000,2,Nominal rendah
1013,30,0,Kesehatan,248300,2,Nominal rendah
1014,30,1,Perhotelan,100000,2,Nominal rendah
1015,30,1,Balai Besar Pengawas Obat dan Makanan di Jaka,84280,2,Nominal rendah
1019,30,0,Manufaktur,126819,2,Nominal rendah
1020,30,1,Perhotelan,130000,2,Nominal rendah
1021,30,0,Kesehatan,248285,2,Nominal rendah
1022,30,0,ASN,382800,2,Nominal rendah
1023,30,0,Pelayanan Jasa,150000,2,Nominal rendah
1027,30,1,Lain-lain,982000,2,Nominal rendah
1028,30,1,ASN,280000,2,Nominal rendah
1029,30,0,Lain-lain,2502370,2,Nominal rendah
1030,30,0,ASN,1703500,2,Nominal rendah
1031,30,1,Jasa Konsultasi Perpajakan,1500000,2,Nominal rendah
1032,30,0,Amil,1094266,2,Nominal rendah
1033,30,0,Manufaktur,280157,2,Nominal rendah
1034,30,0,Amil,198259,2,Nominal rendah
1036,30,1,Amil,175151,2,Nominal rendah
1037,30,1,Amil,175159,2,Nominal rendah
1040,30,0,Sales &amp; Marketing,1187550,2,Nominal rendah
1041,30,1,Perhotelan,135000,2,Nominal rendah
1044,30,0,Kesehatan,248300,1,Nominal rendah
1045,30,0,Amil,45000,1,Nominal rendah
1046,30,0,Amil,1,1,Nominal rendah
1047,30,0,Amil,123,1,Nominal rendah
1048,30,0,Lain-lain,90000,1,Nominal rendah
1049,30,0,Amil,10000,1,Nominal rendah
